index,descriptors,relative_frequency
"Cabernet Sauvignon, Napa Valley, North Coast, California, USA",leather,0.00
"Chardonnay, Columbia Valley, Washington, USA",new_wood,0.00
"Merlot, Sonoma Valley, North Coast, California, USA",lactic,0.00
"Chardonnay, Casablanca Valley, Aconcagua Region, Chile",cider,0.00
"Zinfandel, Inland Valleys, California, USA",wood,0.00
"Syrah, Sonoma Valley, North Coast, California, USA",wild_berry,0.01
"Chardonnay, Sonoma Valley, North Coast, California, USA",savory,0.00
"Cabernet Sauvignon, Paso Robles, Central Coast, California, USA",tobacco,0.00
"Cabernet Sauvignon, Maipo Valley, Central Valley, Chile",perfumed,0.01
"Riesling, Niederosterreich, Austria",limestone,0.00
"Zinfandel, Paso Robles, Central Coast, California, USA",savory,0.01
"Zinfandel, Sierra Foothills, California, USA",dr_pepper,0.00
"Sauvignon Blanc, Napa Valley, North Coast, California, USA",oil,0.00
"Chardonnay, Willamette Valley, Oregon, USA",honeycomb,0.00
"Cabernet Sauvignon, Sonoma Valley, North Coast, California, USA",candy,0.00
"Pinot Noir, Marlborough, New Zealand",leafy,0.00
"Pinot Noir, Sonoma Valley, North Coast, California, USA",stemmy,0.00
"Cabernet Sauvignon, San Francisco Bay, Central Coast, California, USA",spearmint,0.01
"Pinot Noir, San Francisco Bay, Central Coast, California, USA",berry,0.00
"Zinfandel, Sonoma Valley, North Coast, California, USA",grilled_meat,0.00
"Viognier, Columbia Valley, Washington, USA",stone,0.00
"Pinot Noir, San Luis Obispo, Central Coast, California, USA",orange,0.00
"Pinot Noir, Willamette Valley, Oregon, USA",wild_berry,0.00
"Merlot, Long Island, New York, USA",earth,0.01
"Chardonnay, Napa-Sonoma, North Coast, California, USA",toast,0.00
"Sangiovese, Columbia Valley, Washington, USA",rosewater,0.00
"Cabernet Sauvignon, Columbia Valley, Washington, USA",tobacco,0.01
"Sauvignon Blanc, Marlborough, New Zealand",game,0.00
"Sauvignon Blanc, Sonoma Valley, North Coast, California, USA",fruity,0.01
"Riesling, Finger Lakes, New York, USA",pollen,0.01
"Pinot Noir, Casablanca Valley, Aconcagua Region, Chile",toast,0.01
"Syrah, Santa Barbara, Central Coast, California, USA",savory,0.00
"Chardonnay, Monterey, Central Coast, California, USA",honeysuckle,0.00
"Chardonnay, Santa Barbara, Central Coast, California, USA",funky,0.00
"Sauvignon Blanc, Columbia Valley, Washington, USA",cataloupe,0.00
"Pinot Noir, Central Otago, New Zealand",rose,0.00
"Sauvignon Blanc, Casablanca Valley, Aconcagua Region, Chile",passion_fruit,0.00
"Cabernet Franc, Finger Lakes, New York, USA",flower,0.01
"Riesling, Columbia Valley, Washington, USA",petrol,0.00
"Chardonnay, Napa Valley, North Coast, California, USA",funky,0.00
"Bordeaux-style Red Blend, Napa Valley, North Coast, California, USA",blackcurrant,0.00
"Syrah, Coastal Region, South Africa",blueberry,0.01
"Chardonnay, Coastal Region, South Africa",corn,0.01
"Pinot Noir, Napa-Sonoma, North Coast, California, USA",lactic,0.00
"Riesling, Mosel, Germany",pine,0.01
"Zinfandel, Napa Valley, North Coast, California, USA",prune,0.00
"Bordeaux-style Red Blend, Columbia Valley, Washington, USA",mint,0.01
"Cabernet Sauvignon, Coastal Region, South Africa",stalky,0.01
"Pinot Grigio, Willamette Valley, Oregon, USA",celery,0.00
"Chardonnay, Finger Lakes, New York, USA",tangerine,0.00
"Cabernet Franc, Columbia Valley, Washington, USA",dust,0.01
"Merlot, Napa Valley, North Coast, California, USA",fruit-forward,0.00
"Sauvignon Blanc, Santa Barbara, Central Coast, California, USA",melon,0.00
"White Blend, Columbia Valley, Washington, USA",honey,0.01
"Cabernet Sauvignon, Colchagua Valley, Central Valley, Chile",black_fruit,0.01
"Chardonnay, San Luis Obispo, Central Coast, California, USA",honey,0.00
"Gruner Veltliner, Niederosterreich, Austria",quince,0.00
"Malbec, Columbia Valley, Washington, USA",super_ripe,0.00
"Pinot Noir, Monterey, Central Coast, California, USA",perfumed,0.00
"Riesling, Rheinhessen, Germany",currant,0.00
"Riesling, Rheingau, Germany",cookie,0.01
"Pinot Noir, Santa Barbara, Central Coast, California, USA",mulberry,0.00
"Merlot, Columbia Valley, Washington, USA",bramble,0.00
"Syrah, Paso Robles, Central Coast, California, USA",strawberry,0.00
"Syrah, Columbia Valley, Washington, USA",dust,0.01
"Syrah, Sierra Foothills, California, USA",cola,0.01
"Cabernet Sauvignon, Napa Valley, North Coast, California, USA",vegetal,0.00
"Chardonnay, Columbia Valley, Washington, USA",corn,0.00
"Merlot, Sonoma Valley, North Coast, California, USA",stalky,0.00
"Chardonnay, Casablanca Valley, Aconcagua Region, Chile",nettle,0.00
"Zinfandel, Inland Valleys, California, USA",lactic,0.00
"Syrah, Sonoma Valley, North Coast, California, USA",citrus,0.00
"Chardonnay, Sonoma Valley, North Coast, California, USA",butter_popcorn,0.00
"Cabernet Sauvignon, Paso Robles, Central Coast, California, USA",oil,0.00
"Cabernet Sauvignon, Maipo Valley, Central Valley, Chile",blueberry,0.01
"Riesling, Niederosterreich, Austria",corn,0.00
"Zinfandel, Paso Robles, Central Coast, California, USA",burnt,0.01
"Zinfandel, Sierra Foothills, California, USA",unripe,0.00
"Sauvignon Blanc, Napa Valley, North Coast, California, USA",vanilla,0.00
"Chardonnay, Willamette Valley, Oregon, USA",soil,0.00
"Cabernet Sauvignon, Sonoma Valley, North Coast, California, USA",burnt,0.00
"Pinot Noir, Marlborough, New Zealand",clay,0.00
"Pinot Noir, Sonoma Valley, North Coast, California, USA",lactic,0.00
"Cabernet Sauvignon, San Francisco Bay, Central Coast, California, USA",mint,0.01
"Pinot Noir, San Francisco Bay, Central Coast, California, USA",wet_earth,0.00
"Zinfandel, Sonoma Valley, North Coast, California, USA",stemmy,0.00
"Viognier, Columbia Valley, Washington, USA",wax,0.00
"Pinot Noir, San Luis Obispo, Central Coast, California, USA",hibiscus,0.00
"Pinot Noir, Willamette Valley, Oregon, USA",chocolate,0.00
"Merlot, Long Island, New York, USA",black_cherry,0.01
"Chardonnay, Napa-Sonoma, North Coast, California, USA",caramel,0.00
"Cabernet Sauvignon, Columbia Valley, Washington, USA",lees,0.01
"Sauvignon Blanc, Marlborough, New Zealand",apple,0.00
"Sauvignon Blanc, Sonoma Valley, North Coast, California, USA",perfumed,0.00
"Riesling, Finger Lakes, New York, USA",toast,0.01
"Pinot Noir, Casablanca Valley, Aconcagua Region, Chile",medicinal,0.01
"Syrah, Santa Barbara, Central Coast, California, USA",olive,0.00
"Chardonnay, Monterey, Central Coast, California, USA",melon,0.00
"Chardonnay, Santa Barbara, Central Coast, California, USA",chalk,0.00
"Sauvignon Blanc, Columbia Valley, Washington, USA",sweat,0.00
"Pinot Noir, Central Otago, New Zealand",tree_bark,0.00
"Sauvignon Blanc, Casablanca Valley, Aconcagua Region, Chile",asparagus,0.00
"Riesling, Columbia Valley, Washington, USA",orange_blossom,0.00
"Chardonnay, Napa Valley, North Coast, California, USA",mango,0.00
"Bordeaux-style Red Blend, Napa Valley, North Coast, California, USA",mushroom,0.00
"Syrah, Coastal Region, South Africa",boysenberry,0.01
"Chardonnay, Coastal Region, South Africa",caramel,0.01
"Pinot Noir, Napa-Sonoma, North Coast, California, USA",rhubarb,0.00
"Riesling, Mosel, Germany",honeysuckle,0.01
"Zinfandel, Napa Valley, North Coast, California, USA",funky,0.00
"Bordeaux-style Red Blend, Columbia Valley, Washington, USA",currant,0.00
"Cabernet Sauvignon, Coastal Region, South Africa",forest_floor,0.01
"Pinot Grigio, Willamette Valley, Oregon, USA",earth,0.00
"Chardonnay, Finger Lakes, New York, USA",mango,0.00
"Cabernet Franc, Columbia Valley, Washington, USA",tea,0.01
"Merlot, Napa Valley, North Coast, California, USA",vanilla,0.00
"Sauvignon Blanc, Santa Barbara, Central Coast, California, USA",cut_grass,0.00
"White Blend, Columbia Valley, Washington, USA",lime,0.01
"Cabernet Sauvignon, Colchagua Valley, Central Valley, Chile",raisin,0.01
"Chardonnay, San Luis Obispo, Central Coast, California, USA",slate,0.00
"Gruner Veltliner, Niederosterreich, Austria",fig,0.00
"Malbec, Columbia Valley, Washington, USA",grapey,0.00
"Pinot Noir, Monterey, Central Coast, California, USA",citrus,0.00
"Riesling, Rheinhessen, Germany",herb,0.00
"Riesling, Rheingau, Germany",herb,0.01
"Pinot Noir, Santa Barbara, Central Coast, California, USA",underripe,0.00
"Merlot, Columbia Valley, Washington, USA",violet,0.00
"Syrah, Paso Robles, Central Coast, California, USA",overripe,0.00
"Syrah, Columbia Valley, Washington, USA",lees,0.01
"Cabernet Sauvignon, Napa Valley, North Coast, California, USA",tobacco,0.00
"Chardonnay, Columbia Valley, Washington, USA",apricot,0.00
"Merlot, Sonoma Valley, North Coast, California, USA",tar,0.00
"Chardonnay, Casablanca Valley, Aconcagua Region, Chile",lemon,0.00
"Zinfandel, Inland Valleys, California, USA",baked_bread,0.00
"Syrah, Sonoma Valley, North Coast, California, USA",inky,0.00
"Chardonnay, Sonoma Valley, North Coast, California, USA",french_oak,0.00
"Cabernet Sauvignon, Paso Robles, Central Coast, California, USA",loamy,0.00
"Cabernet Sauvignon, Maipo Valley, Central Valley, Chile",molasses,0.01
"Riesling, Niederosterreich, Austria",lemon_peel,0.00
"Zinfandel, Paso Robles, Central Coast, California, USA",pastry,0.01
"Zinfandel, Sierra Foothills, California, USA",honey,0.00
"Sauvignon Blanc, Napa Valley, North Coast, California, USA",toast,0.00
"Chardonnay, Willamette Valley, Oregon, USA",cinnamon,0.00
"Cabernet Sauvignon, Sonoma Valley, North Coast, California, USA",super_ripe,0.00
"Pinot Noir, Marlborough, New Zealand",blackberry,0.00
"Pinot Noir, Sonoma Valley, North Coast, California, USA",orange,0.00
"Cabernet Sauvignon, San Francisco Bay, Central Coast, California, USA",fruit-forward,0.01
"Zinfandel, Sonoma Valley, North Coast, California, USA",tobacco,0.00
"Viognier, Columbia Valley, Washington, USA",oil,0.00
"Pinot Noir, San Luis Obispo, Central Coast, California, USA",steak,0.00
"Pinot Noir, Willamette Valley, Oregon, USA",tea,0.00
"Merlot, Long Island, New York, USA",over-oaked,0.01
"Chardonnay, Napa-Sonoma, North Coast, California, USA",limestone,0.00
"Cabernet Sauvignon, Columbia Valley, Washington, USA",olive,0.01
"Sauvignon Blanc, Marlborough, New Zealand",fruit-forward,0.00
"Sauvignon Blanc, Sonoma Valley, North Coast, California, USA",hay,0.00
"Riesling, Finger Lakes, New York, USA",melon,0.01
"Pinot Noir, Casablanca Valley, Aconcagua Region, Chile",sulfur,0.01
"Syrah, Santa Barbara, Central Coast, California, USA",lavender,0.00
"Chardonnay, Monterey, Central Coast, California, USA",spice,0.00
"Chardonnay, Santa Barbara, Central Coast, California, USA",nectarine,0.00
"Sauvignon Blanc, Columbia Valley, Washington, USA",hay,0.00
"Pinot Noir, Central Otago, New Zealand",brown_sugar,0.00
"Sauvignon Blanc, Casablanca Valley, Aconcagua Region, Chile",nectarine,0.00
"Riesling, Columbia Valley, Washington, USA",pine,0.00
"Chardonnay, Napa Valley, North Coast, California, USA",over-oaked,0.00
"Bordeaux-style Red Blend, Napa Valley, North Coast, California, USA",french_oak,0.00
"Syrah, Coastal Region, South Africa",forest_floor,0.01
"Chardonnay, Coastal Region, South Africa",mint,0.01
"Pinot Noir, Napa-Sonoma, North Coast, California, USA",tobacco,0.00
"Riesling, Mosel, Germany",struck_flint,0.01
"Zinfandel, Napa Valley, North Coast, California, USA",lactic,0.00
"Bordeaux-style Red Blend, Columbia Valley, Washington, USA",cocoa,0.00
"Cabernet Sauvignon, Coastal Region, South Africa",pencil_shaving,0.01
"Chardonnay, Finger Lakes, New York, USA",zest,0.00
"Cabernet Franc, Columbia Valley, Washington, USA",sappy,0.01
"Merlot, Napa Valley, North Coast, California, USA",sweat,0.00
"Sauvignon Blanc, Santa Barbara, Central Coast, California, USA",medicinal,0.00
"Cabernet Sauvignon, Colchagua Valley, Central Valley, Chile",marshmallow,0.01
"Chardonnay, San Luis Obispo, Central Coast, California, USA",vanilla_cream,0.00
"Gruner Veltliner, Niederosterreich, Austria",vanilla,0.00
"Malbec, Columbia Valley, Washington, USA",soapy,0.00
"Pinot Noir, Monterey, Central Coast, California, USA",ash,0.00
"Riesling, Rheinhessen, Germany",honeycomb,0.00
"Riesling, Rheingau, Germany",rose,0.01
"Pinot Noir, Santa Barbara, Central Coast, California, USA",inky,0.00
"Merlot, Columbia Valley, Washington, USA",chalk,0.00
"Syrah, Columbia Valley, Washington, USA",meat,0.01
"Cabernet Sauvignon, Napa Valley, North Coast, California, USA",bramble,0.00
"Chardonnay, Columbia Valley, Washington, USA",cucumber,0.00
"Merlot, Sonoma Valley, North Coast, California, USA",smoke,0.00
"Chardonnay, Casablanca Valley, Aconcagua Region, Chile",nut,0.00
"Zinfandel, Inland Valleys, California, USA",red_fruit,0.00
"Syrah, Sonoma Valley, North Coast, California, USA",cake,0.00
"Chardonnay, Sonoma Valley, North Coast, California, USA",salinity,0.00
"Cabernet Sauvignon, Paso Robles, Central Coast, California, USA",licorice,0.00
"Cabernet Sauvignon, Maipo Valley, Central Valley, Chile",mint,0.01
"Riesling, Niederosterreich, Austria",tangerine,0.00
"Zinfandel, Paso Robles, Central Coast, California, USA",super_ripe,0.01
"Zinfandel, Sierra Foothills, California, USA",coconut,0.00
"Sauvignon Blanc, Napa Valley, North Coast, California, USA",musky,0.00
"Chardonnay, Willamette Valley, Oregon, USA",custard,0.00
"Cabernet Sauvignon, Sonoma Valley, North Coast, California, USA",toast,0.00
"Pinot Noir, Marlborough, New Zealand",root,0.00
"Pinot Noir, Sonoma Valley, North Coast, California, USA",toast,0.00
"Cabernet Sauvignon, San Francisco Bay, Central Coast, California, USA",coconut,0.01
"Zinfandel, Sonoma Valley, North Coast, California, USA",game,0.00
"Viognier, Columbia Valley, Washington, USA",jasmine,0.00
"Pinot Noir, San Luis Obispo, Central Coast, California, USA",sagebrush,0.00
"Pinot Noir, Willamette Valley, Oregon, USA",sweat,0.00
"Merlot, Long Island, New York, USA",super_ripe,0.01
"Chardonnay, Napa-Sonoma, North Coast, California, USA",grapefruit,0.00
"Cabernet Sauvignon, Columbia Valley, Washington, USA",american_oak,0.01
"Sauvignon Blanc, Marlborough, New Zealand",stone_fruit,0.00
"Sauvignon Blanc, Sonoma Valley, North Coast, California, USA",jasmine,0.00
"Riesling, Finger Lakes, New York, USA",pear,0.01
"Pinot Noir, Casablanca Valley, Aconcagua Region, Chile",leafy,0.01
"Syrah, Santa Barbara, Central Coast, California, USA",smoked_meat,0.00
"Chardonnay, Monterey, Central Coast, California, USA",tobacco,0.00
"Chardonnay, Santa Barbara, Central Coast, California, USA",oil,0.00
"Sauvignon Blanc, Columbia Valley, Washington, USA",lemon_peel,0.00
"Pinot Noir, Central Otago, New Zealand",chocolate,0.00
"Sauvignon Blanc, Casablanca Valley, Aconcagua Region, Chile",juicy,0.00
"Riesling, Columbia Valley, Washington, USA",yeast,0.00
"Chardonnay, Napa Valley, North Coast, California, USA",chocolate,0.00
"Bordeaux-style Red Blend, Napa Valley, North Coast, California, USA",licorice,0.00
"Syrah, Coastal Region, South Africa",sawdust,0.01
"Pinot Noir, Napa-Sonoma, North Coast, California, USA",black_cherry,0.00
"Riesling, Mosel, Germany",petrol,0.01
"Zinfandel, Napa Valley, North Coast, California, USA",zest,0.00
"Bordeaux-style Red Blend, Columbia Valley, Washington, USA",grapey,0.00
"Cabernet Sauvignon, Coastal Region, South Africa",barnyard,0.01
"Chardonnay, Finger Lakes, New York, USA",lemon,0.00
"Cabernet Franc, Columbia Valley, Washington, USA",green_bean,0.01
"Merlot, Napa Valley, North Coast, California, USA",over-oaked,0.00
"Sauvignon Blanc, Santa Barbara, Central Coast, California, USA",petrol,0.00
"Cabernet Sauvignon, Colchagua Valley, Central Valley, Chile",chemical,0.01
"Chardonnay, San Luis Obispo, Central Coast, California, USA",lemon,0.00
"Gruner Veltliner, Niederosterreich, Austria",kiwi,0.00
"Malbec, Columbia Valley, Washington, USA",barnyard,0.00
"Pinot Noir, Monterey, Central Coast, California, USA",salinity,0.00
"Riesling, Rheinhessen, Germany",pear,0.00
"Riesling, Rheingau, Germany",toast,0.01
"Pinot Noir, Santa Barbara, Central Coast, California, USA",sappy,0.00
"Merlot, Columbia Valley, Washington, USA",sappy,0.00
"Syrah, Columbia Valley, Washington, USA",bramble,0.01
"Cabernet Sauvignon, Napa Valley, North Coast, California, USA",sanguine,0.00
"Chardonnay, Columbia Valley, Washington, USA",candy,0.00
"Merlot, Sonoma Valley, North Coast, California, USA",leather,0.00
"Chardonnay, Casablanca Valley, Aconcagua Region, Chile",corn,0.00
"Zinfandel, Inland Valleys, California, USA",caramel,0.00
"Syrah, Sonoma Valley, North Coast, California, USA",lactic,0.00
"Chardonnay, Sonoma Valley, North Coast, California, USA",herb,0.00
"Cabernet Sauvignon, Paso Robles, Central Coast, California, USA",anise,0.00
"Cabernet Sauvignon, Maipo Valley, Central Valley, Chile",boysenberry,0.01
"Riesling, Niederosterreich, Austria",wet_earth,0.00
"Zinfandel, Paso Robles, Central Coast, California, USA",grapey,0.01
"Zinfandel, Sierra Foothills, California, USA",tar,0.00
"Sauvignon Blanc, Napa Valley, North Coast, California, USA",mint,0.00
"Chardonnay, Willamette Valley, Oregon, USA",juicy,0.00
"Cabernet Sauvignon, Sonoma Valley, North Coast, California, USA",vegetal,0.00
"Pinot Noir, Marlborough, New Zealand",red_fruit,0.00
"Pinot Noir, Sonoma Valley, North Coast, California, USA",super_ripe,0.00
"Cabernet Sauvignon, San Francisco Bay, Central Coast, California, USA",blackcurrant,0.01
"Zinfandel, Sonoma Valley, North Coast, California, USA",tire_rubber,0.00
"Viognier, Columbia Valley, Washington, USA",hay,0.00
"Pinot Noir, San Luis Obispo, Central Coast, California, USA",salinity,0.00
"Pinot Noir, Willamette Valley, Oregon, USA",blueberry,0.00
"Merlot, Long Island, New York, USA",forest_floor,0.01
"Chardonnay, Napa-Sonoma, North Coast, California, USA",earthy,0.00
"Cabernet Sauvignon, Columbia Valley, Washington, USA",minerality,0.00
"Sauvignon Blanc, Marlborough, New Zealand",kiwi,0.00
"Sauvignon Blanc, Sonoma Valley, North Coast, California, USA",herb,0.00
"Riesling, Finger Lakes, New York, USA",purple_flower,0.01
"Pinot Noir, Casablanca Valley, Aconcagua Region, Chile",red_berry,0.01
"Syrah, Santa Barbara, Central Coast, California, USA",inky,0.00
"Chardonnay, Monterey, Central Coast, California, USA",grapefruit,0.00
